MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass;
373746000,2020-01-01T00:00:39,29.87873,-89.94732,0.0,132.5,121.0,NEW COMMANDER,IMO9610652,3EWU5,70,1,186,27,11.0,,A;
538004188,2020-01-01T00:00:40,37.75965,-122.34710,0.0,43.0,153.0,NAVE POLARIS,IMO9457749,V7VQ6,80,1,170,26,10.1,89,A;
367678850,2020-01-01T00:00:40,33.90843,-118.45012,0.1,-196.0,69.0,LELA FRANCO,IMO9747821,WDI2504,31,5,24,,,,A;
367473990,2020-01-01T00:00:01,56.81015,-132.96332,0.0,-105.7,223.0,THERESA MARIE,IMO7613648,WDF6412,30,15,22,7,,,B;
367641850,2020-01-01T00:00:00,34.24217,-119.26448,0.0,0.0,264.0,DON C,,WDH6811,90,15,29,6,,,B;
338997000,2020-01-01T00:00:04,36.83865,-76.28181,0.0,0.0,22.0,MCFARLAND,IMO7739856,AEGB,90,15,97,22,7.0,33,B;
338790000,2020-01-01T00:00:01,47.60055,-122.33746,0.0,-135.4,89.0,SALLY FOX,IMO9776729,WDH7915,60,0,31,9,,,B;
249974000,2020-01-01T00:00:06,29.34368,-94.74366,10.2,85.7,86.0,PTI RHINE,IMO9313462,9HA4456,80,0,183,32,13.2,81,B;
367401320,2020-01-01T00:00:06,35.10608,-90.08452,0.0,-150.9,511.0,LAMAR GOLDING,,WDE8078,31,15,24,9,,57,B;
367683810,2020-01-01T00:00:07,29.29856,-89.33214,15.3,-164.6,511.0,ANITA D,,WDI2987,60,15,18,5,,,B;
367644850,2020-01-01T00:00:08,29.55675,-90.71114,0.0,158.5,511.0,CAPT VINCE GAMARELLA,,WDH7105,31,8,24,9,,31,B;
366946090,2020-01-01T00:00:01,40.75227,-74.02094,0.0,0.0,511.0,CORNUCOPIA MAJESTY,,WDH5940,60,0,53,19,,60,B;
477542400,2020-01-01T00:00:01,37.76973,-122.35415,10.6,-87.5,326.0,ATLANTIC PISCES,IMO9392781,VRFN3,80,0,183,32,12.2,80,B;
367571840,2020-01-01T00:00:00,30.40122,-91.32282,0.0,194.2,184.0,VIDALIA DOCK,,WDG7887,31,9,28,9,,31,B;
367149490,2020-01-01T00:00:02,39.19748,-74.63441,0.0,137.9,511.0,CHARLOTTE_V,IMO8968777,WDJ6919,52,0,28,18,3.0,52,B;
367317080,2020-01-01T00:00:00,29.44187,-92.06232,0.0,191.1,511.0,MACY LYN,,WDD9845,90,0,18,9,,39,B;
366773070,2020-01-01T00:00:06,47.52316,-122.39678,0.0,-74.3,92.0,WSF CATHLAMET,IMO7808138,WYR7641,60,0,100,23,4.7,,B;
367365210,2020-01-01T00:00:07,30.23162,-93.25622,0.0,-173.6,511.0,ALFRED P CENAC III,,WDE5335,31,0,19,8,,57,B;
367399210,2020-01-01T00:00:08,30.04271,-90.84121,0.0,-195.1,511.0,FUSA TEST,,WRD6794,,0,,,,,B;
367793490,2020-01-01T00:00:11,38.25918,-85.75648,0.0,119.5,511.0,MARY M MILLER,,WDJ6013,60,15,27,9,,60,B;
367159020,2020-01-01T00:00:00,45.64930,-84.47044,0.0,-193.9,207.0,CRAIG ERIC REINAUER,IMO7517686,WDD5483,31,0,34,10,5.3,52,B;
367075180,2020-01-01T00:00:01,28.70182,-95.93278,4.1,-165.7,511.0,DANIELLE C,,WDC7686,31,12,17,7,,,B;
316028703,2020-01-01T00:00:01,48.85422,-123.49874,0.0,-100.7,511.0,GANGES HAWK,,VY5281,38,,8,2,1.1,,B;
366977170,2020-01-01T00:00:00,35.20838,-75.70257,0.0,-49.6,511.0,CAPE POINT,IMO8645313,WAH3960,60,0,45,12,1.2,,A;
367124050,2020-01-01T00:00:04,47.67284,-122.40904,4.7,-88.6,319.0,CASCADE MARINER,IMO7609295,WDA6405,30,15,25,7,,,B;
367402950,2020-01-01T00:00:06,38.45974,-85.50905,2.9,64.9,65.0,EVA KELLEY,,WDE8218,31,15,28,7,,,B;
636016431,2020-01-01T00:00:10,26.89363,-79.20262,19.7,154.9,155.0,MSC VAISHNAVI R,IMO9227340,A8RL2,70,0,282,32,12.5,71,B;
367098550,2020-01-01T00:00:11,46.20137,-123.38733,0.0,0.0,511.0,HEIDI L BRUSCO,IMO8628195,WDC9175,31,0,35,9,3.1,,B;
366961250,2020-01-01T00:00:00,30.51844,-91.21344,0.9,-106.7,223.0,GEISMAR,,WDH5468,31,12,21,9,,,A;
367316510,2020-01-01T00:00:05,41.63753,-70.90694,0.0,-49.6,511.0,ZIBET,IMO8969898,WDD9800,30,2,26,7,,,B;
367125050,2020-01-01T00:00:07,30.70079,-88.03613,0.0,-127.1,164.0,GILBERT TAYLOR,,WCX2939,31,12,40,10,,,B;
367793240,2020-01-01T00:00:08,41.32360,-89.10925,0.0,-141.4,511.0,RIVER SPIRIT,,WDJ5987,,0,,,,,B;
366970910,2020-01-01T00:00:10,29.62105,-93.31740,13.5,141.0,511.0,LAKE CHARLES PILOT,,WDJ5209,90,15,19,5,,,B;
367789310,2020-01-01T00:00:10,29.11601,-90.21091,0.8,112.8,327.0,FANTASY ISLAND,IMO9788344,WDJ5586,90,0,95,20,6.9,,B;
366925000,2020-01-01T00:00:10,30.36109,-89.09290,0.0,-181.2,511.0,SUSAN W,IMO8968789,WCW4123,31,0,33,10,3.6,,B;
367166430,2020-01-01T00:00:10,31.28050,-87.95857,4.4,-52.0,21.0,HENRYJ SOUDELIER III,,WDD5963,31,0,25,10,,57,B;
369970039,2020-01-01T00:00:03,38.98417,-76.46733,0.0,30.1,352.0,YP-703,,,90,0,36,,,99,B;
367712860,2020-01-01T00:00:02,47.53753,-122.32728,0.4,58.3,232.0,CAROLYN H,IMO8851053,WDI5873,31,0,20,6,1.0,,B;
367306390,2020-01-01T00:00:05,38.55190,-73.87853,0.4,-53.0,511.0,MASTER JAMES,IMO8984317,WDD9071,30,15,25,7,,,B;
316001821,2020-01-01T00:00:06,48.94371,-125.54534,0.0,-110.5,511.0,FROSTI,IMO7628473,CFL3773,30,0,39,8,4.2,30,B;
367576470,2020-01-01T00:00:05,61.12613,-146.34802,0.0,0.1,280.0,BERING,,WDG8339,90,0,16,,,,B;
366685950,2020-01-01T00:00:01,32.71531,-117.17606,5.1,88.2,123.0,SPIRIT OF SAN DIEGO,,WCS9446,60,0,34,9,,,B;
366996460,2020-01-01T00:00:00,29.75948,-95.10329,3.1,-119.4,291.0,FILLY,,WDC2691,31,0,17,6,,,B;
367550510,2020-01-01T00:00:02,32.53195,-87.85801,5.5,-123.9,284.0,ALEX PIEHET,,WDG5809,31,12,26,,,,B;
372742000,2020-01-01T00:00:03,39.90654,-75.12629,0.0,160.2,193.0,YOU & ISLAND,IMO9605085,HOHX,70,5,179,29,10.5,70,A;
366950080,2020-01-01T00:00:06,29.72048,-93.86435,0.0,-196.0,511.0,C-TRUC 8,IMO8123523,WDB7934,90,0,64,12,3.7,,B;
355364000,2020-01-01T00:00:06,29.91370,-93.88933,6.2,-186.7,220.0,LUMEN N,IMO9346457,3FPC4,80,0,228,33,8.2,80,B;
366875020,2020-01-01T00:00:07,29.74758,-95.17528,0.0,-138.9,82.0,PIC,IMO8644515,WDB2355,31,0,17,6,,31,B;
366919770,2020-01-01T00:00:10,47.65412,-122.36617,0.0,-58.3,33.0,LYNN MARIE,IMO9253583,WDB6192,31,5,29,12,3.8,52,A;
367458590,2020-01-01T00:00:10,32.52647,-87.84002,0.0,-49.6,511.0,TERAH HUCKABEE,IMO8850970,WDF5033,31,0,32,10,,,B;
366831930,2020-01-01T00:00:03,37.79683,-122.39350,-0.1,-49.6,234.0,MILLENNIUM,IMO8994051,WDG2854,60,0,37,9,1.9,,B;
367497610,2020-01-01T00:00:03,40.53213,-74.25271,0.0,-60.7,255.0,PINUCCIA,IMO8852722,WDH9186,31,0,35,8,3.5,52,B;
366897820,2020-01-01T00:00:04,40.64048,-74.16345,0.1,-115.7,511.0,CHARLES D MCALLISTER,IMO6801418,WDB4383,31,0,32,8,3.8,52,B;
367477690,2020-01-01T00:00:06,34.72004,-76.69471,0.0,-179.4,511.0,FORT MACON,IMO5238779,WDF6773,31,0,26,7,3.1,,B;
367353070,2020-01-01T00:00:06,26.15645,-79.82968,10.4,-50.6,0.0,EVERGREEN STATE,IMO9408138,WDE4430,80,0,183,32,11.8,89,B;
477096700,2020-01-01T00:00:06,29.68830,-89.96917,14.9,149.7,150.0,DA WEI SHAN,IMO9803118,VRQW7,,0,,,,,B;
538070284,2020-01-01T00:00:07,25.79490,-80.25294,0.0,-197.0,511.0,COSTA BRAVA III,,V7LE5,37,0,,,,0,B;
367377380,2020-01-01T00:00:08,42.35558,-71.04969,0.0,68.7,278.0,FREEDOM,,WYR2173,60,0,29,12,,,B;
367426950,2020-01-01T00:00:08,30.13639,-93.31847,0.0,-181.4,511.0,INTEGRITY,,WDF9138,31,12,26,9,,,B;
353423000,2020-01-01T00:00:10,29.73878,-95.05851,7.2,-85.8,334.0,GERAKAS,IMO9399894,3EYH8,80,0,183,32,13.0,80,B;
339335000,2020-01-01T00:00:10,47.64752,-122.33132,0.0,-129.9,65.0,ARCTIC PRIDE,,6YRQ5,37,5,,,,,A;
367581000,2020-01-01T00:00:00,53.86935,-166.55313,0.0,204.4,244.0,VALIANT,IMO7005841,WDG4392,30,0,27,8,,30,B;
338713000,2020-01-01T00:00:02,36.84427,-76.29319,0.0,-53.3,511.0,PAUL JOHANSEN,,WDG9506,60,,19,6,,,B;
367627870,2020-01-01T00:00:03,48.53725,-123.01522,0.0,0.0,511.0,SJSO SENTINEL,,WDH5429,90,0,,,,,B;
367395270,2020-01-01T00:00:00,29.93455,-89.99903,0.0,-105.3,304.0,ALTON ST AMANT,,WDE7604,31,0,25,9,,57,B;
316182000,2020-01-01T00:00:02,49.55550,-124.72282,0.3,163.7,133.0,CCGS BARTLETT,IMO7006778,CGDR,90,1,57,13,3.8,,A;
538005956,2020-01-01T00:00:05,48.19982,-123.21931,20.8,85.2,85.0,YM ULTIMATE,IMO9302645,V7IK7,70,0,335,42,14.5,71,B;
367707370,2020-01-01T00:00:05,46.29402,-124.04541,7.0,-193.7,511.0,MARILYN J,,WDI5320,30,,17,5,,,B;
