MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass;
367083580,2020-01-01T00:00:10,27.82144,-97.47885,0.0,75.1,287.0,ROCKFISH,IMO8998954,WDC8223,31,12,21,9,,57,B;
367720970,2020-01-01T00:00:00,29.67827,-94.97890,7.3,-68.0,339.0,LAWRENCE CAMPBELL,,WDI6665,31,0,,,,,A;
367551860,2020-01-01T00:00:02,42.35112,-71.03740,0.0,-49.6,511.0,JOCKA,IMO8885573,WDG5937,30,4,18,5,,,A;
367460360,2020-01-01T00:00:10,31.21001,-87.94262,5.0,42.1,511.0,MR LANDON,,WDF5184,31,0,18,6,,0,B;
338317705,2020-01-01T00:00:03,47.62940,-122.39203,0.0,-132.7,260.0,SERENA RAY,IMO0000000,WDE8561,37,,17,5,,,B;
367639270,2020-01-01T00:00:00,30.10772,-90.98102,0.8,-159.3,511.0,DENNIS FROMENTHAL,,WDH6560,31,15,23,,,,B;
367596850,2020-01-01T00:00:00,28.84298,-79.57771,7.3,0.2,354.0,HOS BAYOU,IMO9647681,WDH2368,90,0,92,19,6.4,,B;
367655030,2020-01-01T00:00:02,35.18209,-93.13194,5.2,-80.9,511.0,NATALIE D,,WDH8135,31,0,18,7,,52,B;
367481540,2020-01-01T00:00:00,38.38932,-85.63177,3.5,28.1,511.0,KAREN KOBY,IMO8651324,WDF7145,31,8,29,8,3.0,,B;
367190250,2020-01-01T00:00:05,43.07917,-70.75732,0.0,-181.1,511.0,TOWN POINT,IMO7110854,WBK3245,31,0,28,8,4.5,52,B;
367505510,2020-01-01T00:00:10,30.06153,-90.85942,2.5,105.0,84.0,MYRA ECKSTEIN,,WDF9473,31,0,46,13,,31,B;
367335830,2020-01-01T00:00:03,39.71727,-75.51787,0.0,-161.0,511.0,MADELINE,,WDE3220,31,0,23,9,,52,B;
367640860,2020-01-01T00:00:05,39.41431,-76.03644,0.1,21.8,42.0,AMY E HEBERT,IMO7047667,WDH6709,31,0,29,8,3.2,,B;
367373660,2020-01-01T00:00:06,39.53797,-76.08253,0.0,-132.4,511.0,CAPTAIN TOM,,WCY7339,31,0,17,7,,,B;
367702540,2020-01-01T00:00:00,30.67360,-88.03295,0.1,176.9,75.0,SAFETY STAR,,WDI4837,31,15,21,8,,,B;
367341010,2020-01-01T00:00:02,42.31127,-83.07575,10.5,-181.5,223.0,MANITOWOC,IMO7366398,WDE3569,70,0,192,20,7.8,,A;
367534840,2020-01-01T00:00:00,30.02947,-94.03302,0.9,58.9,342.0,GUADALUPE,,WDG4275,31,0,25,9,,,A;
366998680,2020-01-01T00:00:05,37.80572,-122.34681,10.1,54.3,511.0,PATRIOT,IMO8332473,WDC2859,31,0,28,10,3.6,,B;
367694000,2020-01-01T00:00:05,53.85881,-166.55265,0.0,54.8,511.0,PACIFIC PRINCE,IMO8515506,WAQ4899,30,0,45,10,4.6,30,B;
367631610,2020-01-01T00:00:05,29.95546,-93.86500,0.1,185.3,179.0,ALICE GOLDING,,WDH5800,31,12,25,,,,B;
369970445,2020-01-01T00:00:06,35.20900,-75.70400,0.0,-141.0,309.0,MERRITT,,AEVZ,90,3,,,,33,B;
367710410,2020-01-01T00:00:07,26.08935,-80.17425,0.0,-49.6,511.0,LADY CARMEN,,WDI5615,60,,,,,,B;
367437150,2020-01-01T00:00:06,30.07091,-93.34247,0.0,96.0,34.0,SCOTT CAMP,,WDF3203,31,0,26,9,,,B;
372843000,2020-01-01T00:00:05,26.47997,-78.78941,2.1,58.0,15.0,MSC FIAMMETTA,IMO9369758,3EOU7,70,0,277,40,14.5,,A;
367317850,2020-01-01T00:00:06,27.82308,-97.19138,0.7,-113.1,511.0,JOHN C.LAQUAY,,WDD9903,33,15,45,12,0.0,33,B;
367797260,2020-01-01T00:00:04,40.70341,-74.00010,19.7,-151.1,258.0,H208,,WDJ6389,60,0,,,,,A;
367522230,2020-01-01T00:00:07,38.00325,-85.95328,4.3,73.2,511.0,KIM W NOWELL,,WDG3075,31,0,48,12,,,B;
367541370,2020-01-01T00:00:07,38.84957,-90.10912,0.0,-167.9,511.0,BILLIE D MILLER,,WDG4910,31,0,14,,,,A;
366811580,2020-01-01T00:00:06,32.83001,-79.89723,0.0,164.3,511.0,MISS CATE,IMO8503448,WDF9186,31,15,29,9,3.3,0,B;
367474980,2020-01-01T00:00:08,29.91718,-89.92679,0.0,121.9,511.0,COUNT FLEET,,WDF6506,31,0,15,6,,52,B;
367054850,2020-01-01T00:00:06,29.92869,-90.19393,8.7,55.9,511.0,AUBREY DUFRENE JR,,WDC6335,31,8,20,7,,,B;
367797450,2020-01-01T00:00:07,39.61739,-80.90487,3.0,97.8,99.0,JEFFREY A RAIKE,,WDJ6407,31,0,36,10,,31,B;
338075892,2020-01-01T00:00:01,43.65315,-70.25318,0.0,-171.2,511.0,PILOT BOAT SPRING PT,,WDB8945,90,0,0,0,0.0,90,B;
366687000,2020-01-01T00:00:06,29.75011,-95.10539,0.0,-155.3,511.0,RMS ORION,,WDG5247,60,0,29,7,,60,B;
367623010,2020-01-01T00:00:01,31.01407,-81.29002,7.5,177.6,188.0,WABI-SABI,,WDH4952,37,,14,,,,B;
367430050,2020-01-01T00:00:01,33.20490,-87.60553,0.1,121.0,74.0,STEVEN M BRYAN,,WDF2628,31,12,26,9,,,B;
367542320,2020-01-01T00:00:03,33.20123,-87.61862,0.0,-183.9,511.0,WALTER L GIBBS,,WDG5004,31,12,26,,,,B;
367693640,2020-01-01T00:00:05,40.75416,-73.96045,8.4,-198.3,511.0,PADDLEWHEEL QUEEN,,WDI3950,60,2,25,8,,60,B;
354425000,2020-01-01T00:00:01,37.81065,-122.50980,13.9,-161.6,244.0,CHRONOS,IMO9237163,3FVV6,80,0,73,16,6.0,70,B;
367427260,2020-01-01T00:00:00,28.64526,-96.55337,0.0,6.6,269.0,HOWARD BLANK,,WDF2314,31,15,26,9,,,B;
367346290,2020-01-01T00:00:05,36.29344,-89.57716,0.3,-181.4,313.0,AMY GATTLE,,WDH2236,31,0,42,11,,31,B;
367776270,2020-01-01T00:00:01,40.70914,-73.97395,8.2,62.3,67.0,H200,,WDJ4295,60,0,,,,,A;
538006153,2020-01-01T00:00:08,29.94924,-93.86389,0.0,107.4,511.0,SEACOR DIAMOND,IMO9225495,V7FV9,90,0,72,16,5.0,99,B;
368086080,2020-01-01T00:00:06,21.31671,-157.87724,0.0,32.4,511.0,CUMBERLAND TRAIL,IMO0000000,WDH8553,30,,21,6,,,B;
367595460,2020-01-01T00:00:10,29.92537,-89.98246,0.0,50.5,288.0,THREE RIVERS,,WDH2225,31,0,23,,,,B;
367469050,2020-01-01T00:00:06,41.58772,-71.41019,0.0,-168.9,511.0,LARRY J HEBERT,IMO8424068,WDF5953,31,0,27,8,3.2,52,B;
368009880,2020-01-01T00:00:09,41.45540,-88.16800,0.0,-129.5,511.0,DELBERT E KNOY,,WDJ7763,31,12,25,9,,31,B;
338178188,2020-01-01T00:00:07,57.16810,-133.66888,6.8,-107.7,511.0,KATHY K,,,30,,9,,,,B;
367367620,2020-01-01T00:00:06,29.40503,-94.74550,5.7,48.4,511.0,RESURRECTION,,WDE5499,31,0,22,9,,,B;
367360960,2020-01-01T00:00:02,40.70005,-74.15256,0.0,192.0,102.0,EMILY ANN,IMO6515667,WDE5022,31,15,29,10,3.5,31,B;
367574540,2020-01-01T00:00:03,28.96839,-95.37402,0.0,-160.2,511.0,LOW LAND 20,,WDG8153,31,0,15,6,,90,B;
367530040,2020-01-01T00:00:03,45.64349,-122.75267,0.0,17.1,231.0,WASHINGTON,IMO8207733,WDG3825,31,0,28,11,,52,B;
367596750,2020-01-01T00:00:00,27.80974,-97.34693,0.5,144.8,101.0,ZEUS,IMO9660968,WDH2353,31,0,24,11,,,A;
366956790,2020-01-01T00:00:05,36.29803,-89.58775,0.1,-185.9,305.0,COOP ENTERPRISE,,WDB8316,31,0,56,16,,,B;
367702360,2020-01-01T00:00:09,37.01214,-89.16785,0.0,10.8,322.0,RON W CALLEGAN,,WDI4821,31,10,53,16,,31,B;
367387230,2020-01-01T00:00:05,45.60765,-122.68385,0.1,170.5,124.0,SANDWICK,,WDE6970,90,0,22,6,,31,B;
367532830,2020-01-01T00:00:02,35.10194,-90.17941,9.8,192.7,178.0,CAROL MCMANUS,IMO8836651,WDG4087,31,12,49,15,,,B;
338232181,2020-01-01T00:00:11,25.31752,-80.27705,0.2,192.3,511.0,PURELY PLEASURE,,,40,,,,,,B;
368077830,2020-01-01T00:00:08,29.77899,-92.18620,4.4,-125.5,511.0,INDEPENDENCE,,WDK6764,31,8,23,10,3.0,31,B;
367164090,2020-01-01T00:00:03,41.49753,-81.70380,0.0,-111.3,511.0,NAUTICA QUEEN,,WDD5812,60,0,31,9,,,B;
316003289,2020-01-01T00:00:02,49.14434,-123.03291,0.0,-69.6,106.0,PRINCESS SUPERIOR,IMO7343669,CZ4348,70,0,117,20,5.4,,B;
367692890,2020-01-01T00:00:05,34.26645,-90.83327,5.6,6.9,9.0,LESTER CRUSE,,WDI3882,31,15,29,,,,B;
367317630,2020-01-01T00:00:11,29.66456,-91.12976,0.0,-177.7,511.0,SEA WOLF,,WDD9887,31,0,15,6,,31,B;
338025000,2020-01-01T00:00:06,41.61450,-71.40173,0.0,145.2,511.0,G L 54,,WDH5375,90,3,54,18,,,B;
367728230,2020-01-01T00:00:08,29.73925,-95.12732,0.0,203.2,3.0,DONNY NOLAN,,WDI7388,31,12,28,10,,57,B;
367498910,2020-01-01T00:00:11,29.54631,-90.69968,3.2,-164.2,511.0,DELTA RULER,IMO8037164,WDF8818,31,0,20,7,,52,B;
367771030,2020-01-01T00:00:02,47.66202,-122.38648,0.0,-114.2,215.0,SURFBIRD,,WDJ3753,37,0,30,7,,,B;
368454000,2020-01-01T00:00:05,55.33139,-160.50516,0.0,25.1,223.0,HANDLER,IMO9032812,WDI3734,30,15,38,10,,,B;
338336514,2020-01-01T00:00:06,25.79389,-80.15374,0.4,87.1,511.0,VIVALTO,IMO0000000,,37,,17,5,,,B;
538005786,2020-01-01T00:00:07,29.80221,-93.34727,6.0,174.7,174.0,NAVIG8 ACHROITE,IMO9727584,V7GY5,80,0,184,,,,B;
367495210,2020-01-01T00:00:05,29.99996,-89.98733,0.0,127.7,265.0,JUSTIN D SBISA,,WDF8471,31,5,21,9,,,A;
366984330,2020-01-01T00:00:07,39.89335,-90.56856,0.0,-81.9,59.0,CRIMSON GLORY,,WDB9876,31,12,48,13,,,B;
366917120,2020-01-01T00:00:10,31.18741,-91.58974,4.0,4.8,511.0,MARY ELIZABETH,,WCX8058,31,12,34,10,,,B;
538005600,2020-01-01T00:00:00,34.07981,-76.44254,16.2,44.3,44.0,GLOVIS SUMMIT,IMO9702417,V7EL8,70,0,199,35,10.0,,B;
367384520,2020-01-01T00:00:06,37.14117,-76.64101,8.2,180.0,175.0,ANNE JARRETT,IMO9548378,WDH9121,31,5,28,9,3.5,52,B;
367671170,2020-01-01T00:00:06,36.93084,-76.33027,0.0,-165.6,511.0,G M MCALLISTER,IMO8218902,WDH9744,31,15,32,10,,52,B;
367705270,2020-01-01T00:00:06,43.36293,-124.20101,0.0,-49.6,75.0,CASEY H,IMO8872289,WDI5111,31,0,23,8,,,B;
366750980,2020-01-01T00:00:04,48.28644,-122.63657,0.0,-198.9,511.0,LA VOLANTE FRANCES J,,WCY4641,37,,13,4,,,B;
538005564,2020-01-01T00:00:11,29.30833,-94.80779,0.0,193.5,93.0,THORCO ISADORA,IMO9469778,V7FB6,70,5,148,23,9.8,79,A;
366963850,2020-01-01T00:00:07,30.06438,-90.85617,5.5,-116.4,511.0,JOANNE C,,WDB8767,31,0,17,7,,52,B;
367138490,2020-01-01T00:00:05,29.25463,-89.97235,0.0,-125.7,341.0,ANNA M,IMO9406403,WDD3952,60,0,44,8,2.4,60,B;
1073709206,2020-01-01T00:00:00,29.94078,-91.84233,0.0,193.3,511.0,RAM 14,IMO8765072,WDA6950,90,0,26,13,0.0,90,B;
367367430,2020-01-01T00:00:08,40.74325,-73.97123,0.6,132.8,511.0,GENE FLATOW,,WDE5486,60,0,20,8,,,B;
338142085,2020-01-01T00:00:05,37.79257,-122.30763,5.8,100.1,511.0,ROXANNE,,,37,,12,,,,B;
366996340,2020-01-01T00:00:05,30.25625,-89.18405,6.0,-183.3,511.0,PALO DURO,,WDC2680,31,0,17,7,,,B;
366917110,2020-01-01T00:00:11,30.40013,-91.20573,0.0,-75.1,47.0,FRANK STEGBAUER,,WCX7185,31,0,34,10,,,B;
367688360,2020-01-01T00:00:06,40.43531,-80.00597,0.0,-49.6,511.0,COUNTESS,,WDI3442,60,15,16,,,,B;
366913770,2020-01-01T00:00:09,29.32192,-94.85669,7.5,-187.4,511.0,MIKAELA LANE DEVALL,IMO8983026,WDB5815,31,0,21,9,,31,B;
366836590,2020-01-01T00:00:07,40.64108,-74.16391,0.0,-151.0,511.0,ELLEN MCALLISTER,IMO8980892,WDG3673,31,15,33,9,4.3,52,B;
367314810,2020-01-01T00:00:09,30.39840,-81.42771,0.0,0.0,218.0,MAYPORT,,WDD9681,50,0,15,5,,50,B;
367034170,2020-01-01T00:00:14,36.96704,-76.41375,0.0,-179.0,511.0,RAM VII,IMO8765838,WBN3003,90,0,28,11,,90,B;
367665370,2020-01-01T00:00:01,37.03661,-88.44563,5.5,21.3,511.0,GEORGE LEAVELL,,WDH9173,31,0,16,,,,B;
367702780,2020-01-01T00:00:00,37.86797,-122.39570,0.7,-93.5,95.0,SARAH,IMO9824887,WDI4859,31,0,23,,,,B;
367560360,2020-01-01T00:00:00,36.85976,-75.86456,6.4,133.3,511.0,FRENCH MAID,,WDG6758,37,,15,,,,B;
366963380,2020-01-01T00:00:03,37.90857,-86.68411,0.0,198.9,511.0,FRANCIS R KEEGAN,,WDB8733,31,12,38,11,,31,B;
366994190,2020-01-01T00:00:03,35.10369,-90.08482,0.1,-176.4,276.0,ANGIE GOLDING,,WDC2517,31,12,32,9,,,B;
367644590,2020-01-01T00:00:02,40.65533,-80.36423,5.0,-180.9,511.0,OLIVIA ROSE,,WDH7080,31,0,18,6,,,B;
366950050,2020-01-01T00:00:05,34.70624,-76.73695,0.0,-131.1,511.0,CAPT STACY IV,,WSX9253,60,,21,6,,,B;
369970404,2020-01-01T00:00:05,55.50678,-131.77172,28.2,204.0,511.0,SEA CHASER,,,90,,,,,,B;
367580930,2020-01-01T00:00:05,33.73427,-118.27663,4.8,-150.7,511.0,TRIUMPHANT,IMO9759692,WDG8773,60,0,25,8,,,B;
338314573,2020-01-01T00:00:07,26.77831,-80.04056,0.0,-49.6,511.0,THRASHY THOUGHTS TOO,IMO0000000,,37,,10,4,,,B;
367124980,2020-01-01T00:00:08,33.73451,-118.27093,0.0,-147.0,511.0,HARVEY HERD,IMO9271200,WDH2785,90,0,46,14,3.3,,B;
367155810,2020-01-01T00:00:01,30.30357,-87.72863,0.0,-49.6,511.0,OUR MOTHER,IMO8940426,WDD5260,30,15,27,7,,,B;
367680670,2020-01-01T00:00:10,27.76495,-82.50996,8.1,-183.0,511.0,SEA EXPLORER,IMO8856297,WDI2684,30,15,23,6,,,B;
538006836,2020-01-01T00:00:00,28.33027,-74.28294,14.0,77.4,78.0,PACIFIC JEWELS,IMO9732254,V7RW5,80,0,255,,,,B;
367614940,2020-01-01T00:00:06,30.05871,-93.58244,6.2,87.9,93.0,JERIS AUTHEMENT,,WDH4175,31,12,26,,,,B;
367755550,2020-01-01T00:00:03,40.02096,-80.73585,0.0,-176.5,21.0,ROBERT E MURRAY II,,WDJ2135,31,12,,,,,B;
366999387,2020-01-01T00:00:11,31.52489,-92.72751,0.0,-170.5,511.0,STRONG,,AEMI,90,8,,,,31,B;
366972280,2020-01-01T00:00:12,30.05853,-93.63850,6.6,-141.4,511.0,JOEY DEVALL,,WYB7063,31,0,18,7,,31,B;
319926000,2020-01-01T00:00:11,29.91772,-81.30610,0.0,-67.5,66.0,ARETI I,IMO9461726,ZCTR6,37,5,38,8,2.0,37,A;
367458610,2020-01-01T00:00:13,31.24723,-87.95065,4.5,-130.3,276.0,TEMPLE HUCKABEE,,WDF5034,31,12,37,10,,,B;
366856460,2020-01-01T00:00:00,39.07417,-84.62135,5.4,107.7,105.0,CINCINNATI,IMO8976499,WDD4980,31,12,26,9,,,B;
367799370,2020-01-01T00:00:01,53.90241,-166.52843,0.0,146.3,223.0,FLICKA,IMO8687995,WDJ6597,30,15,38,10,,,B;
367074940,2020-01-01T00:00:12,29.30924,-89.32224,2.8,-204.4,511.0,MASTER LANDIN,,WDC7667,31,0,18,7,,52,B;
367765140,2020-01-01T00:00:07,30.34601,-88.50477,0.0,31.0,89.0,CULLEN PASENTINE,,WDJ3136,31,0,,,,,B;
367564470,2020-01-01T00:00:07,35.10173,-90.08570,0.0,-111.0,323.0,ANDREW GOLDING,,WDG7160,31,12,27,,,,B;
354899000,2020-01-01T00:00:08,29.89713,-117.65698,1.3,116.6,42.0,PHOENIX LEADER,IMO9283875,H9NY,70,0,199,32,10.0,,B;
366942880,2020-01-01T00:00:08,28.92685,-95.28589,1.4,145.2,143.0,NEWPORT,IMO8308616,WRC2930,90,3,80,16,5.1,,B;
247399000,2020-01-01T00:00:12,20.65950,-154.28467,11.0,99.0,102.0,PERTUSOLA,IMO9147394,IBER,80,0,145,22,10.1,81,B;
367710250,2020-01-01T00:00:00,38.82825,-90.10880,0.0,-49.6,511.0,EAGER BEAVER,,WDI5599,31,15,14,5,,,B;
366988580,2020-01-01T00:00:12,38.53963,-90.25018,0.0,152.5,511.0,TERRY GIFFORD,,WDC2142,31,12,19,7,,,B;
367608470,2020-01-01T00:00:05,29.71337,-95.25195,0.0,-147.3,88.0,SAN SALVADOR,,WDH3551,31,12,26,,,,A;
367186430,2020-01-01T00:00:01,40.67236,-74.01741,0.6,149.7,511.0,AVALON,,WDD7440,60,15,19,8,,60,B;
368488000,2020-01-01T00:00:05,57.77685,-152.41293,0.0,0.0,35.0,MELANIE,IMO8855061,WBR9969,30,0,23,8,,,B;
367570840,2020-01-01T00:00:06,29.70778,-95.04563,0.0,-168.9,98.0,KARL SENNER,,WDG7788,31,15,27,,,,B;
367612470,2020-01-01T00:00:00,29.75484,-95.17784,0.1,79.7,318.0,HOS CLEARVIEW,IMO9647605,WDH3935,90,0,97,19,6.0,,B;
367709780,2020-01-01T00:00:07,41.62924,-88.06297,0.0,-49.6,511.0,STACY DIANNE,,WDI5557,31,7,15,,,,B;
368072250,2020-01-01T00:00:12,30.15973,-91.00470,0.1,-159.2,511.0,CAPT ZIGGY,,WDK6207,57,0,23,10,3.0,57,B;
367015880,2020-01-01T00:00:00,40.66802,-74.06391,6.2,-198.9,511.0,ROBERT IV,,WDC3892,31,15,16,6,,,B;
367302380,2020-01-01T00:00:00,30.01945,-93.98045,0.0,-162.8,109.0,HOUSTON,,WDD8755,31,0,23,10,,57,B;
367625260,2020-01-01T00:00:01,57.05758,-135.35373,0.0,-61.3,511.0,STELLA JO,,WDH5174,30,0,,,,,B;
367130910,2020-01-01T00:00:04,41.45560,-70.59939,0.2,-144.9,83.0,ISLAND HOME,IMO9410478,WDD3413,60,0,77,19,3.3,,B;
368006590,2020-01-01T00:00:02,34.58177,-92.16710,3.6,25.1,511.0,WINCHESTER,,WDJ7427,31,15,35,9,,,B;
367353110,2020-01-01T00:00:06,38.88152,-125.11968,13.7,-73.6,336.0,PELICAN STATE,IMO9408102,WDE4433,80,0,183,32,12.8,80,B;
316011746,2020-01-01T00:00:05,49.19946,-122.94121,0.0,-115.2,511.0,SEA IMP XII,,,31,0,10,5,0.7,31,B;
367028790,2020-01-01T00:00:08,30.20171,-93.32386,0.0,106.6,511.0,CAPT KENT,,WCY6347,31,5,17,7,,52,A;
316003447,2020-01-01T00:00:08,49.17480,-122.91734,0.1,47.8,511.0,SNOW DRIFT,IMO7823023,CZ4108,30,15,24,7,2.7,30,B;
431127000,2020-01-01T00:00:10,31.83374,-130.24586,10.1,110.5,104.0,NOBLE SALUTE,IMO9602734,7JSP,70,0,234,38,14.5,79,B;
369970735,2020-01-01T00:00:04,37.18074,-89.06959,0.0,-49.6,511.0,OLM-0032,,AEOS,,0,,,,,B;
338755000,2020-01-01T00:00:07,29.68261,-91.09945,0.0,-165.8,103.0,BASELINE EXPLORER,IMO9759408,WDG8875,90,0,39,10,,,B;
370485000,2020-01-01T00:00:11,33.73577,-118.16969,0.0,-191.9,243.0,PACIFIC SEAGULL,IMO9782364,3FVM5,70,1,199,,,,A;
338205376,2020-01-01T00:00:09,48.00307,-122.22172,0.0,-91.0,511.0,AVVENTURA,,,37,,11,3,,,B;
367760230,2020-01-01T00:00:02,37.00545,-88.22401,0.1,127.9,511.0,HALCYON III,,WDJ2632,37,,,,,,B;
367081420,2020-01-01T00:00:05,55.33509,-160.50132,0.0,174.6,511.0,TUXEDNI,IMO7050195,WDI7280,30,0,25,7,,30,B;
367379810,2020-01-01T00:00:06,29.93681,-90.33599,0.0,166.6,511.0,WISE ONE,,WDE6403,31,0,21,8,,31,B;
367505670,2020-01-01T00:00:09,29.97212,-90.39919,0.0,-49.6,511.0,JEFFREY G,,WDF9488,31,0,43,15,,,B;
319031900,2020-01-01T00:00:11,25.76959,-80.14627,0.0,-65.5,296.0,BOARDWALK,IMO9569401,ZGAQ7,37,0,49,9,2.4,37,B;
367438630,2020-01-01T00:00:12,29.90275,-90.08162,0.0,-100.6,344.0,A STEVE CROWLEY,,WDF3329,31,0,46,12,,,A;
367425680,2020-01-01T00:00:02,42.34970,-71.03841,0.0,14.6,511.0,BLACK BEAUTY,IMO8037724,WDF2175,30,,19,6,,,B;
316005175,2020-01-01T00:00:00,48.41456,-123.38655,0.0,-113.4,511.0,PACIFIC PILOT TWO,,CG2436,0,0,18,5,2.3,0,B;
366760650,2020-01-01T00:00:02,33.75277,-118.22150,0.1,-175.2,75.0,LEADER,IMO9188568,WCY8495,31,0,31,10,4.3,52,B;
367169320,2020-01-01T00:00:04,38.85198,-90.11237,0.0,-161.6,511.0,PAT PICKETT,,WDD6184,31,0,22,8,,,B;
367649630,2020-01-01T00:00:05,41.72451,-87.53999,0.0,0.0,511.0,MASSACHUSETTS,,WDH7590,31,15,24,6,,,B;
366954170,2020-01-01T00:00:09,29.86585,-89.93284,0.0,78.9,511.0,OLGA G STONE,,WBS3207,31,15,18,7,,,B;
369131000,2020-01-01T00:00:06,40.66703,-74.00789,0.0,172.0,21.0,FORT MCHENRY,IMO9804681,WDI9336,31,0,,,,,B;
366940480,2020-01-01T00:00:08,51.86152,-176.63798,0.1,74.7,176.0,EARLY DAWN,IMO7821130,WDB7319,30,7,32,8,4.0,,B;
367640680,2020-01-01T00:00:05,29.72565,-95.02068,0.0,-83.9,162.0,PHYLLIS E,,WDH6692,31,12,18,7,,,B;
367060330,2020-01-01T00:00:02,46.30360,-124.04201,0.0,0.0,511.0,ANITA D,,WDI7169,30,15,20,6,,,B;
367507830,2020-01-01T00:00:04,57.77752,-152.41237,0.0,-127.5,511.0,PACIFIC STORM,IMO8983727,WDF9692,30,0,26,7,,,B;
366998910,2020-01-01T00:00:05,29.95339,-93.86555,0.0,-167.4,511.0,COMANCHE,,WDH8267,31,15,15,6,0.0,31,B;
316004950,2020-01-01T00:00:00,47.69232,-87.15374,14.1,121.7,120.0,SAGINAW,IMO5173876,VF2560,70,0,195,22,7.8,,B;
366776000,2020-01-01T00:00:03,41.55080,-70.60060,0.0,-126.0,55.0,ISLAND QUEEN,,WZE8187,60,0,30,8,,,B;
367789860,2020-01-01T00:00:09,35.52344,-95.12583,0.0,-49.6,511.0,MERLIN MCCOY,,WDJ5644,90,3,,,,,B;
369339000,2020-01-01T00:00:01,33.73357,-118.25168,0.0,-158.6,251.0,PRESIDENT KENNEDY,IMO9295218,WPKW,79,0,300,42,11.2,79,B;
367057660,2020-01-01T00:00:05,41.67783,-88.01088,0.0,-166.5,511.0,AL WEAVER,,WDC6539,31,0,25,9,,31,B;
367703060,2020-01-01T00:00:05,38.91714,-82.12419,0.0,-49.6,511.0,FRED R SHEDD,,WDI4885,31,0,15,,,,B;
367057340,2020-01-01T00:00:07,36.27984,-89.56197,7.3,145.8,161.0,CAPT R P GETTELFINGE,,WDC6512,31,0,46,15,,,B;
367015830,2020-01-01T00:00:06,36.33785,-89.56761,3.0,99.2,511.0,ARLENE,IMO8991061,WDF2437,31,12,37,10,,,B;
316011504,2020-01-01T00:00:07,49.19533,-122.90733,0.0,-105.5,158.0,SEASPAN PUSHER,IMO8744688,CFG582,31,0,30,8,5.1,90,B;
367465980,2020-01-01T00:00:07,29.40869,-91.99206,0.1,181.3,511.0,CROSBY TIDE,,WDF5671,31,0,17,8,,,B;
369980000,2020-01-01T00:00:09,37.78092,-122.25123,0.0,37.0,307.0,USS FORREST SHERMAN,,NFPS,90,0,155,20,,,B;
368008970,2020-01-01T00:00:08,29.70295,-91.22173,0.0,-189.8,511.0,PEARL,,WDJ7670,31,0,15,7,,,B;
368011000,2020-01-01T00:00:07,47.98258,-122.22902,0.5,-92.7,216.0,USS KIDD,,NKID,90,0,,,,,B;
366977480,2020-01-01T00:00:09,30.42869,-91.20360,0.1,-178.3,511.0,FLICKER,,WDB9507,31,0,15,7,,52,B;
367781550,2020-01-01T00:00:10,29.75881,-95.11796,0.1,16.5,90.0,GARLAND GASPARD,,WDJ4830,31,0,,,,,B;
366986320,2020-01-01T00:00:00,38.58371,-90.21029,5.0,50.0,511.0,JILL CAROLYN,,WDC2001,31,0,18,7,,,B;
367557930,2020-01-01T00:00:00,41.69783,-83.45191,0.0,-154.5,2.0,KURT R LUEDTKE,,WDG6523,31,0,21,6,,,B;
366984950,2020-01-01T00:00:05,36.96238,-89.09523,0.0,-114.6,7.0,NEW DAWN,,WDB9910,31,12,39,12,,,B;
367565110,2020-01-01T00:00:07,29.75745,-95.09407,0.1,-141.6,25.0,ANNA MICHAEL,,WDG7225,31,0,21,,,,B;
367657710,2020-01-01T00:00:07,39.04438,-84.40327,2.1,-189.8,511.0,CHRISTINE B,,WDH8413,31,15,15,,,,B;
367533190,2020-01-01T00:00:08,36.82049,-89.14675,0.0,-197.0,347.0,STEVE SOUTHERN,,WDG4121,31,12,42,13,,,B;
367471930,2020-01-01T00:00:02,39.62126,-80.87707,0.0,-49.6,511.0,BETTY LOU,,WDH8114,31,0,14,6,,,B;
338643000,2020-01-01T00:00:04,47.63529,-122.32906,0.0,84.3,127.0,VAERDAL,IMO7947685,WDF6582,30,0,33,9,,30,B;
367046890,2020-01-01T00:00:06,46.16772,-123.91443,0.0,-104.9,511.0,PACIFIC FUTURE,IMO7948316,WDC5819,30,7,21,6,,,B;
316026695,2020-01-01T00:00:06,46.46953,-84.28782,4.8,-78.4,332.0,CSL WELLAND,IMO9665279,CFK5151,70,0,225,23,9.0,,B;
369928000,2020-01-01T00:00:07,32.86172,-79.96297,0.0,-110.9,511.0,MEDGAR EVERS,IMO9593115,NVRS,70,5,210,32,9.7,,A;
367082880,2020-01-01T00:00:10,29.61277,-95.00147,0.0,-136.0,511.0,RICHARDSON V,,WDJ2056,31,0,18,8,,,B;
366980410,2020-01-01T00:00:09,37.18539,-76.78389,0.0,-162.3,511.0,SURRY,,WQZ5587,60,0,57,19,,,B;
367762880,2020-01-01T00:00:12,29.77692,-95.07645,4.1,11.8,22.0,COLTON JAMES,,WDJ2911,31,12,,,,,B;
367519920,2020-01-01T00:00:11,29.95698,-90.14352,0.0,-175.9,511.0,BIG EDDIE,,WDG2850,31,0,20,8,,38,B;
319070700,2020-01-01T00:00:12,25.77324,-80.14281,0.0,47.9,511.0,KAMPAI,,ZCON8,37,,,,,,B;
